time (sec),ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.43500E+02,3.2001716612626800E+01,1.2000150655530100E+02,1.7302609708701000E+02
2.43510E+02,3.2001716613065600E+01,1.2000150761357000E+02,1.7302610766883400E+02
2.43520E+02,3.2001716613502100E+01,1.2000150867183800E+02,1.7302611814307300E+02
2.43530E+02,3.2001716613936300E+01,1.2000150973010700E+02,1.7302612851029200E+02
2.43540E+02,3.2001716614368200E+01,1.2000151078837600E+02,1.7302613877105200E+02
2.43550E+02,3.2001716614797900E+01,1.2000151184664500E+02,1.7302614892591300E+02
2.43560E+02,3.2001716615225300E+01,1.2000151290491300E+02,1.7302615897543000E+02
2.43570E+02,3.2001716615650400E+01,1.2000151396318200E+02,1.7302616892015700E+02
2.43580E+02,3.2001716616073300E+01,1.2000151502145100E+02,1.7302617876064300E+02
2.43590E+02,3.2001716616494000E+01,1.2000151607972000E+02,1.7302618849743500E+02
2.43600E+02,3.2001716616912500E+01,1.2000151713798800E+02,1.7302619813107900E+02
2.43610E+02,3.2001716617328800E+01,1.2000151819625700E+02,1.7302620766211500E+02
2.43620E+02,3.2001716617742900E+01,1.2000151925452600E+02,1.7302621709108200E+02
2.43630E+02,3.2001716618154900E+01,1.2000152031279500E+02,1.7302622641851500E+02
2.43640E+02,3.2001716618564600E+01,1.2000152137106400E+02,1.7302623564494800E+02
2.43650E+02,3.2001716618972200E+01,1.2000152242933200E+02,1.7302624477091200E+02
2.43660E+02,3.2001716619377700E+01,1.2000152348760100E+02,1.7302625379693200E+02
2.43670E+02,3.2001716619781100E+01,1.2000152454587000E+02,1.7302626272353500E+02
2.43680E+02,3.2001716620182300E+01,1.2000152560413900E+02,1.7302627155124100E+02
2.43690E+02,3.2001716620581400E+01,1.2000152666240800E+02,1.7302628028057100E+02
2.43700E+02,3.2001716620978500E+01,1.2000152772067600E+02,1.7302628891204000E+02
2.43710E+02,3.2001716621373400E+01,1.2000152877894500E+02,1.7302629744616100E+02
2.43720E+02,3.2001716621766300E+01,1.2000152983721400E+02,1.7302630588344700E+02
2.43730E+02,3.2001716622157100E+01,1.2000153089548300E+02,1.7302631422440600E+02
2.43740E+02,3.2001716622545900E+01,1.2000153195375100E+02,1.7302632246954200E+02
2.43750E+02,3.2001716622932600E+01,1.2000153301202000E+02,1.7302633061936000E+02
2.43760E+02,3.2001716623317300E+01,1.2000153407028900E+02,1.7302633867435900E+02
2.43770E+02,3.2001716623700000E+01,1.2000153512855800E+02,1.7302634663503700E+02
2.43780E+02,3.2001716624080600E+01,1.2000153618682700E+02,1.7302635450188900E+02
2.43790E+02,3.2001716624459300E+01,1.2000153724509500E+02,1.7302636227540800E+02
2.43800E+02,3.2001716624836000E+01,1.2000153830336400E+02,1.7302636995608400E+02
2.43810E+02,3.2001716625210700E+01,1.2000153936163300E+02,1.7302637754440400E+02
2.43820E+02,3.2001716625583400E+01,1.2000154041990200E+02,1.7302638504085300E+02
2.43830E+02,3.2001716625954200E+01,1.2000154147817100E+02,1.7302639244591300E+02
2.43840E+02,3.2001716626323000E+01,1.2000154253643900E+02,1.7302639976006400E+02
2.43850E+02,3.2001716626689900E+01,1.2000154359470800E+02,1.7302640698378300E+02
2.43860E+02,3.2001716627054900E+01,1.2000154465297700E+02,1.7302641411754500E+02
2.43870E+02,3.2001716627417900E+01,1.2000154571124600E+02,1.7302642116182200E+02
2.43880E+02,3.2001716627779100E+01,1.2000154676951500E+02,1.7302642811708300E+02
2.43890E+02,3.2001716628138300E+01,1.2000154782778400E+02,1.7302643498379700E+02
2.43900E+02,3.2001716628495700E+01,1.2000154888605200E+02,1.7302644176242700E+02
2.43910E+02,3.2001716628851200E+01,1.2000154994432100E+02,1.7302644845343700E+02
2.43920E+02,3.2001716629204800E+01,1.2000155100259000E+02,1.7302645505728500E+02
2.43930E+02,3.2001716629556600E+01,1.2000155206085900E+02,1.7302646157443100E+02
2.43940E+02,3.2001716629906500E+01,1.2000155311912800E+02,1.7302646800532800E+02
2.43950E+02,3.2001716630254600E+01,1.2000155417739600E+02,1.7302647435043000E+02
2.43960E+02,3.2001716630600800E+01,1.2000155523566500E+02,1.7302648061018700E+02
2.43970E+02,3.2001716630945300E+01,1.2000155629393400E+02,1.7302648678504600E+02
2.43980E+02,3.2001716631287900E+01,1.2000155735220300E+02,1.7302649287545500E+02
2.43990E+02,3.2001716631628700E+01,1.2000155841047200E+02,1.7302649888185500E+02
2.44000E+02,3.2001716631967800E+01,1.2000155946874100E+02,1.7302650480468800E+02
2.44010E+02,3.2001716632305000E+01,1.2000156052700900E+02,1.7302651064439200E+02
2.44020E+02,3.2001716632640500E+01,1.2000156158527800E+02,1.7302651640140500E+02
2.44030E+02,3.2001716632974300E+01,1.2000156264354700E+02,1.7302652207615900E+02
2.44040E+02,3.2001716633306200E+01,1.2000156370181600E+02,1.7302652766908800E+02
2.44050E+02,3.2001716633636500E+01,1.2000156476008500E+02,1.7302653318061900E+02
2.44060E+02,3.2001716633965000E+01,1.2000156581835300E+02,1.7302653861118100E+02
2.44070E+02,3.2001716634291800E+01,1.2000156687662200E+02,1.7302654396119900E+02
2.44080E+02,3.2001716634616800E+01,1.2000156793489100E+02,1.7302654923109500E+02
2.44090E+02,3.2001716634940200E+01,1.2000156899316000E+02,1.7302655442129000E+02
2.44100E+02,3.2001716635261900E+01,1.2000157005142900E+02,1.7302655953220300E+02
2.44110E+02,3.2001716635581800E+01,1.2000157110969800E+02,1.7302656456424900E+02
2.44120E+02,3.2001716635900100E+01,1.2000157216796600E+02,1.7302656951784300E+02
2.44130E+02,3.2001716636216700E+01,1.2000157322623500E+02,1.7302657439339600E+02
2.44140E+02,3.2001716636531700E+01,1.2000157428450400E+02,1.7302657919131800E+02
2.44150E+02,3.2001716636845000E+01,1.2000157534277300E+02,1.7302658391201700E+02
2.44160E+02,3.2001716637156700E+01,1.2000157640104200E+02,1.7302658855589800E+02
2.44170E+02,3.2001716637466700E+01,1.2000157745931100E+02,1.7302659312336300E+02
2.44180E+02,3.2001716637775100E+01,1.2000157851757900E+02,1.7302659761481500E+02
2.44190E+02,3.2001716638081900E+01,1.2000157957584800E+02,1.7302660203065300E+02
2.44200E+02,3.2001716638387000E+01,1.2000158063411700E+02,1.7302660637127200E+02
2.44210E+02,3.2001716638690600E+01,1.2000158169238600E+02,1.7302661063706900E+02
2.44220E+02,3.2001716638992600E+01,1.2000158275065500E+02,1.7302661482843500E+02
2.44230E+02,3.2001716639293000E+01,1.2000158380892400E+02,1.7302661894576200E+02
2.44240E+02,3.2001716639591800E+01,1.2000158486719200E+02,1.7302662298943900E+02
2.44250E+02,3.2001716639889000E+01,1.2000158592546100E+02,1.7302662695985100E+02
2.44260E+02,3.2001716640184700E+01,1.2000158698373000E+02,1.7302663085738300E+02
2.44270E+02,3.2001716640478800E+01,1.2000158804199900E+02,1.7302663468241800E+02
2.44280E+02,3.2001716640771400E+01,1.2000158910026800E+02,1.7302663843533700E+02
2.44290E+02,3.2001716641062500E+01,1.2000159015853700E+02,1.7302664211651800E+02
2.44300E+02,3.2001716641352000E+01,1.2000159121680500E+02,1.7302664572633800E+02
2.44310E+02,3.2001716641640000E+01,1.2000159227507400E+02,1.7302664926517100E+02
2.44320E+02,3.2001716641926500E+01,1.2000159333334300E+02,1.7302665273339000E+02
2.44330E+02,3.2001716642211500E+01,1.2000159439161200E+02,1.7302665613136500E+02
2.44340E+02,3.2001716642495000E+01,1.2000159544988100E+02,1.7302665945946600E+02
